ID,Tipo,Location,Baños,dia,mes,año,Fecha, M² de construcción , Precio/M² de construcción , Precio ,Cuartos,Titulo
19334049,Casas,Playas,4,16,4,2021,4/16/2021," 300,000.00 ", 1.66 ," 499,000.00 ",5,"Casas en Playas | Acogedora y amplia Hacienda en Coclé, Juan Hombrón"
19040251,Apartamentos,"Amador, Cause Way",2,12,3,2021,3/12/2021," 269,098.00 ", 0.98 ," 265,000.00 ",2,"Apartamentos en Amador, Cause Way | ¡GANGA PRECIO REDUCIDO, VENTA DE APARTAMENTO AMADOR ,PREIC JNAM"
19335149,Apartamentos,"Amador, Cause Way",3,19,4,2021,4/19/2021," 269,098.00 ", 1.85 ," 500,000.00 ",3,"Apartamentos en Amador, Cause Way | GANGA, VENTA DE APARTAMENTO PENTHOUSE EN AMADOR. PREIC - JNAM"
18929073,Apartamentos,Santa Ana,1,1,5,2021,5/1/2021," 110,000.00 ", 1.00 ," 110,000.00 ",1,Apartamentos en Santa Ana | Casco Viejo: de Paquete!
19500443,Casas,El Valle,2,7,5,2021,5/7/2021," 79,562.00 ", 5.84 ," 465,000.00 ",3,Casas en El Valle | Venta de casa en el Valle
18309397,Casas,El Cocal,8,13,1,2021,1/13/2021," 55,129.00 ", 4.98 ," 275,000.00 ",10,"Casas en El Cocal | SE VENDE HOSPEDAJE, RESTAURANTE Y CASA EN LAS TABLAS."
8375561,Casas,Via Porras,5,25,4,2021,4/25/2021," 49,096.00 ", 10.18 ," 500,000.00 ",5,Casas en Vía Porras | SE VENDE CASA EN LA URB.DOS MARES DE 5R 5 BÑS
19432122,Casas,Cerro Azul,2,28,4,2021,4/28/2021," 45,000.00 ", 17.77 ," 800,000.00 ",3,Casas en Cerro Azul | Excelente inversión Casa en venta 4.5H / OV
19579347,Casas,Cerro Azul,2,17,5,2021,5/17/2021," 45,000.00 ", 17.77 ," 800,000.00 ",2,Casas en Cerro Azul | Excelente inversión Casa en venta 4.5H / OV
19475225,Casas,Las Cumbres,1,4,5,2021,5/4/2021," 36,449.00 ", 3.20 ," 117,000.00 ",3,Casas en Las Cumbres | Se Vende Casa Unifamiliar de Esquina en Las Cumbres Residencial Las Alambras
8724392,Casas,El Dorado,3,10,6,2019,6/10/2019," 34,457.00 ", 12.47 ," 430,000.00 ",3,Casas en El Dorado | Hermosa casa en El Dorado
18349025,Casas,El Bosque,3,1,3,2021,3/1/2021," 33,157.00 ", 11.00 ," 365,000.00 ",4,Casas en El Bosque | VENDO CASA! RESIDENCIAL EL BOSQUE! TUMBA MUERTO
16246823,Casas,Brisas del Golf,3,2,10,2020,10/2/2020," 30,057.00 ", 9.48 ," 285,000.00 ",3,Casas en Brisas del Golf | Venta Casa en Brisas del Golf residencial cerrado
19719081,Casas,El Carmen,3,3,6,2021,6/3/2021," 27,933.00 ", 23.26 ," 650,000.00 ",4,"Casas en El Carmen | VENDO CASA UNIFAMILIAR EN LA URBANIZACION NUEVO REPARTO EL CARMEN 682.11M2, $650,000.00"
16165838,Casas,Las Cumbres,2,4,3,2020,3/4/2020," 25,717.00 ", 5.09 ," 131,000.00 ",3,"Casas en Las Cumbres | SE VENDE FLAMANTE CASA EN P.H. RESIDENCIAL PALMAS BELLAS COMPLEJO PRIVADO ""VILLA ZAITA"""
18923945,Casas,Chame,4,27,2,2021,2/27/2021," 25,000.00 ", 19.20 ," 480,000.00 ",7,Casas en Chame | Casa en Venta Chame PP21-3107
18642995,Casas,Penonome,2,26,1,2021,1/26/2021," 24,000.00 ", 3.31 ," 79,500.00 ",3,Casas en Penonomé | Venta de Casa en Penonomé
15971132,Casas,Villa Lucre,2,23,4,2021,4/23/2021," 21,939.00 ", 5.46 ," 120,000.00 ",3,Casas en Villa Lucre | Se vende casa en Villa Lucre
18397452,Casas,Las Tablas,1,29,12,2020,12/29/2020," 20,000.00 ", 3.50 ," 70,000.00 ",3,"Casas en Las Tablas | Finca en las tablas, la palma."
14630085,Casas,Ciudad de Panama,3.5,10,6,2019,6/10/2019," 19,018.00 ", 9.46 ," 180,000.00 ",3,Casas en Ciudad de Panamá | Altos de Cerro Azul /Se Vende Casa-1 NIVEL Plano
16572067,Casas,Playas,2,1,4,2021,4/1/2021," 17,078.00 ", 3.98 ," 68,000.00 ",3,Casas en Playas | casa de 3 recamaras en El Chiru
16896706,Casas,Cerro Azul,3,13,5,2021,5/13/2021," 15,569.00 ", 10.91 ," 170,000.00 ",3,Casas en Cerro Azul | Venta de casa en Cerro Azul
19261274,Casas,Penonome,1,8,4,2021,4/8/2021," 15,000.00 ", 13.33 ," 200,000.00 ",3,Casas en Penonomé | Venta sw de casa en el cope de Penonome
17884525,Casas,Juan Demostenes,2,7,11,2020,11/7/2020," 12,713.00 ", 10.06 ," 128,000.00 ",3,Casas en Juan Demóstenes | PARQUES DE OVIEDO | ARRAIJAN | CASA EN VENTA
18868882,Casas,Brisas del Golf,3.5,21,2,2021,2/21/2021," 12,345.00 ", 19.84 ," 245,000.00 ",4,Casas en Brisas del Golf | VENTA CASA AMOBLADA EN PH ALPES BRISAS DEL GOLF
19637585,Apartamentos,El Cangrejo,2.5,24,5,2021,5/24/2021," 11,414.00 ", 13.01 ," 148,500.00 ",2,"Apartamentos en El Cangrejo | Cangrejo,ALQUILO,APTO $800 VACIO,2EST$148,500OPCION VENTA PAGO FECTIVO,FINANCIAMIENTO,,2REC,3B,"
19688702,Apartamentos,Cocle,1,31,5,2021,5/31/2021," 10,716.00 ", 27.90 ," 299,000.00 ",1,"Apartamentos en Coclé | Venta Apartamento Buenaventura, amoblado vista al mar #AHM 20-10354"
17944866,Casas,El Valle,4.5,29,4,2021,4/29/2021," 10,400.00 ", 177.88 ," 1,850,000.00 ",4,Casas en El Valle | Casa Campestre en venta Valle Antón
19432437,Casas,Sora,1,28,4,2021,4/28/2021," 10,000.00 ", 22.50 ," 225,000.00 ",2,"Casas en Sorá | CASA EN VENTA, SORÁ"
17229277,Casas,Sora,2,27,4,2021,4/27/2021," 10,000.00 ", 36.00 ," 360,000.00 ",4,Casas en Sorá | MODERNA CASA ¡SUPER OFERTA! NEGOCIABLE
16944384,Apartamentos,Las Acacias,2,20,5,2021,5/20/2021," 9,715.00 ", 13.69 ," 133,000.00 ",3,Apartamentos en Las Acacias | Vendo PH Torres de Versalles
19181191,Apartamentos,Carrasquilla,2,28,3,2021,3/28/2021," 9,144.00 ", 19.13 ," 175,000.00 ",3,Apartamentos en Carrasquilla | VISTA VERDE TOWER | VENTA DE APARTAMENTO | CARRASQUILLA
19458638,Apartamentos,Condado del Rey,2,12,5,2021,5/12/2021," 7,335.00 ", 19.76 ," 145,000.00 ",2,Apartamentos en Condado del Rey | SE VENDE APARTAMENTO SEMI-AMUEBLADO EN CONDADO DEL REY (PRECIO NEGOCIABLE)
19673012,Casas,Cabuya,2.5,28,5,2021,5/28/2021," 7,200.00 ", 40.97 ," 295,000.00 ",3,Casas en Cabuya | SE VENDE AMPLIA CASA CON PISCINA EN CABUYA CHAME
19102199,Apartamentos,Costa del Este,4.5,19,3,2021,3/19/2021," 7,000.00 ", 264.28 ," 1,850,000.00 ",4,Apartamentos en Costa del Este | Apartamento en VENTA -Marea 33
15722125,Casas,Chiriqui Provincia,2,10,12,2019,12/10/2019," 6,557.00 ", 14.48 ," 95,000.00 ",3,Casas en Chiriquí Provincia | Chiriquí- San Francisco
17258173,Casas,Chilibre,1,20,3,2021,3/20/2021," 6,400.00 ", 50.78 ," 325,000.00 ",4,Casas en Chilibre | VENDO FINCA CON CASA RESIDENCIAL / TERRENO PLANO / 6400m2 Aprox / 4R y 1B / 1 DEPOSITO
19524170,Casas,San Juan,2,10,5,2021,5/10/2021," 6,325.00 ", 55.33 ," 350,000.00 ",3,Casas en San Juan | CASA CON TERRENO ENORME EN EL 20
16755624,Casas,San Jose,3.5,5,8,2020,8/5/2020," 5,236.00 ", 343.77 ," 1,800,000.00 ",4,Casas en San José | Se Vende casa frente a la Playa en Punta Barco
18239896,Casas,Cerro Azul,3.5,9,12,2020,12/9/2020," 5,206.00 ", 81.63 ," 425,000.00 ",5,Casas en Cerro Azul | VENTA POR DEBAJO DE AVALUÓ - CASA CON 2 CABAÑAS EN CERRO AZUL
19503948,Casas,Cocle Provincia,7,7,5,2021,5/7/2021," 5,180.00 ", 318.53 ," 1,650,000.00 ",8,Casas en Coclé Provincia | Casa de Playa en Cocle en Venta EP21-3282
19592507,Casas,Santa Rosa,1,18,5,2021,5/18/2021," 5,163.10 ", 36.79 ," 190,000.00 ",3,Casas en Santa Rosa | HERMOSA CASA EN CAPIRA
18941998,Casas,Pedasi,8,1,3,2021,3/1/2021," 4,955.00 ", 807.26 ," 4,000,000.00 ",7,Casas en Pedasí | Pedasi hermosa casa frente al mar
18667508,Casas,Macaracas,1,1,2,2021,2/1/2021," 4,913.00 ", 23.40 ," 115,000.00 ",3,Casas en Macaracas | se vende esta casa
9430406,Casas,Bugaba,2,21,8,2019,8/21/2019," 4,822.00 ", 18.66 ," 90,000.00 ",3,Casas en Bugaba | Residencia en Bugaba
19669191,Casas,Sabanitas,2,28,5,2021,5/28/2021," 4,400.00 ", 32.95 ," 145,000.00 ",2,Casas en Sabanitas | COLON / PUERTO PILON / 2 HABITACIONES / ACCESO A LA PLAYA
19044686,Casas,La Colorada,1,12,3,2021,3/12/2021," 4,244.00 ", 34.16 ," 145,000.00 ",2,"Casas en La Colorada | Amplio Terreno, con casa y Local a orilla de calle"
19364425,Casas,San Carlos,3,20,4,2021,4/20/2021," 4,190.00 ", 357.99 ," 1,500,000.00 ",3,"Casas en San Carlos | Se vende lujosa casa en Costa Esmeralda, San Carlos"
17462583,Casas,El Valle,2,13,10,2020,10/13/2020," 4,000.00 ", 87.50 ," 350,000.00 ",2,Casas en El Valle | BELLA VILLA CAMPESTRE EN El Valle
18685669,Casas,Portobello,7,31,1,2021,1/31/2021," 4,000.00 ", 137.50 ," 550,000.00 ",7,Casas en Portobello | Se vende casa en la playa a orilla del Mar Caribe
15829325,Casas,Boqueron,8,22,5,2021,5/22/2021," 4,000.00 ", 150.00 ," 600,000.00 ",9,"Casas en Boquerón | Se vende (NEGOCIABLE) - FINCA VILLA LUZ en Macano de Boquerón, Chiriquí, Panamá."
19727733,Casas,Altos del Maria,4.5,4,6,2021,6/4/2021," 3,915.00 ", 108.55 ," 425,000.00 ",4,"Casas en Altos del María | Altos del Maria - Casa de Campo - 3,915mts2 de terreno - 425,000"
19495459,Casas,Campana,4,6,5,2021,5/6/2021," 3,913.00 ", 127.77 ," 500,000.00 ",3,Casas en Campana | Se Vende Espectacular Casa de Montaña en Altos de Maria 21-5627
18550553,Casas,Alcalde Diaz,3.5,17,1,2021,1/17/2021," 3,690.76 ", 40.64 ," 150,000.00 ",5,Casas en Alcalde Díaz | VENDO CASA CON AMPLIO TERRENO EN LAS CUMBRES ALCALDE DIAZ.
19401489,Casas,Alto Boquete,2,24,4,2021,4/24/2021," 3,614.00 ", 134.20 ," 485,000.00 ",3,"Casas en Alto Boquete | Custom Home for Sale by Owner in Boquete, Panama"
19157208,Casas,Victoriano Lorenzo,2,25,3,2021,3/25/2021," 3,538.00 ", 28.26 ," 100,000.00 ",6,"Casas en Victoriano Lorenzo | Casas | San Miguelito, Monte Oscuro, 367m2 terreno"
19001973,Casas,Costa Verde,1,8,3,2021,3/8/2021," 3,530.00 ", 35.41 ," 125,000.00 ",3,Casas en Costa Verde | Venta de Casa en Villas de Montelimar - La Chorrera
18519438,Casas,Clayton,7,13,1,2021,1/13/2021," 3,526.00 "," 1,985.25 "," 7,000,000.00 ",5,Casas en Clayton | Venta de Mansión en Clayton
19495400,Casas,Playa Coronado,3,6,5,2021,5/6/2021," 3,521.00 ", 107.76 ," 379,450.00 ",3,Casas en Playa Coronado | Se Vende Casa de Playa con Vivero Orgánico y Estanque para Animales 21-6148
19031682,Casas,Cerro Azul,2,11,3,2021,3/11/2021," 3,500.00 ", 117.14 ," 410,000.00 ",3,Casas en Cerro Azul | EN VENTA CASA DUPLEX EN ALTOS DE CERRO AZUL/MB
19031746,Casas,Cerro Azul,3,11,3,2021,3/11/2021," 3,500.00 ", 117.14 ," 410,000.00 ",3,Casas en Cerro Azul | Se vende Casa en Cerro Azul
16944688,Casas,Altos de Panama,7,22,4,2021,4/22/2021," 3,500.00 "," 1,428.57 "," 5,000,000.00 ",8,"Casas en Altos de Panamá | La mejor esquina frente al mar de Coco Del Mar con 3,500 m2"
17040371,Casas,La Pintada,2,5,8,2020,8/5/2020," 3,473.00 ", 35.70 ," 124,000.00 ",3,Casas en La Pintada | Se Vende Amplia Residencia en Los Uveros .
